name,text
Callorhinchus_capensis,"['The Cape elephantfish (Callorhinchus capensis), also known as the St Joseph shark or josef, is a species of fish in the family Callorhinchidae.[2]\n', 'The Cape elephantfish is a smooth silvery or bronze fish  which grows to 120\xa0cm in total length, with a digging proboscis on the front of its snout. The first dorsal fin has a large venomous spine in front of it. There are darker markings on the flanks and head. At maturity, the males have a pair of calcified claspers, paired retractable prepelvic graspers, and a door-knocker-like projection (tentaculum) on their heads.[2]\n'] ['The Cape elephantfish is a smooth silvery or bronze fish  which grows to 120\xa0cm in total length, with a digging proboscis on the front of its snout. The first dorsal fin has a large venomous spine in front of it. There are darker markings on the flanks and head. At maturity, the males have a pair of calcified claspers, paired retractable prepelvic graspers, and a door-knocker-like projection (tentaculum) on their heads.[2]\n', 'It is found off the coasts of Namibia and South Africa inshore and down to 374 m.[3]\n']"
Callorhinchus_milii,"['The Australian ghostshark (Callorhinchus milii) is a cartilaginous fish (Chondrichthyes) belonging to the subclass Holocephali (chimaera). Sharks, rays and skates are the other members of the cartilaginous fish group and are grouped under the subclass Elasmobranchii. Alternative names include elephant shark, makorepe (in Māori), whitefish, plough-nose chimaera, or elephant fish. It is found off southern Australia, including Tasmania, and south of East Cape and Kaipara Harbour in New Zealand, at depths of 0–200\xa0m (0–656\xa0ft). Despite several of its names, it is not a shark, but a member of a closely related group.\n', 'The fish is silvery in colour with iridescent reflections and dark, variable markings on the sides.[2] Males mature at 50\xa0cm (1.6\xa0ft) and females at 70\xa0cm (2.3\xa0ft), and the maximum length head to tail is 1.5\xa0m (4.9\xa0ft).[2] It has an elongated body, which is smooth and torpedo shaped, with two widely separated, triangular dorsal fins.[3]  They use their hoe-shaped snouts to probe the ocean bottom for invertebrates and small fishes.[2]\n'] []"
Chimaera_lignaria,"[""The carpenter's chimaera (Chimaera lignaria), also known as the giant chimaera or the giant purple chimaera, is a species of fish in the family Chimaeridae.[2][3]\n"", 'The carpenter\'s chimaera grows to 128 centimetres (50\xa0in) in length;[4] the largest specimen recorded, a male, had a total length of 142 centimetres (56\xa0in), although some specimens may grow up to roughly 150 centimetres (59\xa0in).[1] It has been described as a ""distinctly large and robust chimaera""[4] and is purple in color, with a very large head.[5] The claspers of males are colored purple at their intersection with the species\' body while their tips are white. 1/3 of the area at the end of claspers is divided.[6]\n'] ['The carpenter\'s chimaera grows to 128 centimetres (50\xa0in) in length;[4] the largest specimen recorded, a male, had a total length of 142 centimetres (56\xa0in), although some specimens may grow up to roughly 150 centimetres (59\xa0in).[1] It has been described as a ""distinctly large and robust chimaera""[4] and is purple in color, with a very large head.[5] The claspers of males are colored purple at their intersection with the species\' body while their tips are white. 1/3 of the area at the end of claspers is divided.[6]\n', 'The carpenter\'s chimaera exhibits oviparity, with egg shells containing ""horns"" on them. Males mature at a body length (BDL) of roughly 60 centimetres (24\xa0in), while females mature at 70 centimetres (28\xa0in) BDL, generally equaling a total length of roughly 100 centimetres (39\xa0in).[6] Little is known about the species\' biology.[4][1]\n']"
Chimaera_monstrosa,"['Chimaera monstrosa, commonly known as the rabbit fish or rat fish, is a northeast Atlantic and Mediterranean species of cartilaginous fish in the family Chimaeridae.[1] The rabbit fish is known for its characteristically large head and small, tapering body. With large eyes, nostrils, and tooth plates, the head gives them a rabbit-like appearance, hence the nickname ""Rabbit fish"". They can grow to 1.5 metres (5\xa0ft) and live for up to 30 years.\n', 'The appearance of C. monstrosa shares characteristics of its distant relatives, sharks. It characteristically has a large head and a tapering body that ends in its whip-like tail, and has a short snout with an overhanging mouth. The top dorsal fin is positioned high on the spine of the fish, and is triangular and tall in height. Positioned in the mid-section of the fish, the spine runs throughout the length of the fish and continuously joins with the upper part of the caudal fin; this dorsal spine is also mildly poisonous and can cause painful stings. One distinguishing feature of the fish, compared to its close relatives, is the anal fin, which is distinctly separated from lancet-shaped caudal fin. The color is silver-green with spots of brown. Additionally, they have marmor-white stripes in all directions with a distinct lateral line can be seen clearly on the head.\n'] ['The appearance of C. monstrosa shares characteristics of its distant relatives, sharks. It characteristically has a large head and a tapering body that ends in its whip-like tail, and has a short snout with an overhanging mouth. The top dorsal fin is positioned high on the spine of the fish, and is triangular and tall in height. Positioned in the mid-section of the fish, the spine runs throughout the length of the fish and continuously joins with the upper part of the caudal fin; this dorsal spine is also mildly poisonous and can cause painful stings. One distinguishing feature of the fish, compared to its close relatives, is the anal fin, which is distinctly separated from lancet-shaped caudal fin. The color is silver-green with spots of brown. Additionally, they have marmor-white stripes in all directions with a distinct lateral line can be seen clearly on the head.\n', 'The rabbit fish can grow up to 1.5\xa0m (5\xa0ft) long, and weigh 2.5\xa0kg (5.5\xa0lb).[2] More specifically, this chimaera species is characterized by a slow-growth rate, and a long life expectancy. In the study of one population, the theoretical asymptotic length of this fish was estimated at 78.87\xa0cm with a yearly growth rate of 6.73% per year. With these estimates of growth, the study also suggests the maximum ages of the fish to be 30 years for males and 26 for females, with the maturity age of the sample being 13.4 years for males and 11.2 years for females.[3]\n']"
Chimaera_fulva,"['The southern chimaera (Chimaera fulva) is a chimaera species in the family Chimaeridae. It lives in Australia, usually in marine waters 780 to 1095 meters deep. It can grow to a maximum length of at least 100 centimeters, and is sometimes confused with Chimaera obscura, a similar species in its genus.\n', 'Male specimens of the southern chimaera can grow up to a maximum total length of 100 centimeters, and females can grow to 118.7 centimeters.[2] Its coloring ranges from a silver pink to a pale brown. Its dorsal spine is short, and males have large claspers, which contain bristles at the end.[3] The species is sometimes confused with Chimaera obscura, a related species commonly known as the shortspine chimaera. However, the species are different morphological; notably, C. fulva is lighter in color than C. obscura.[4][1]\n'] ['Male specimens of the southern chimaera can grow up to a maximum total length of 100 centimeters, and females can grow to 118.7 centimeters.[2] Its coloring ranges from a silver pink to a pale brown. Its dorsal spine is short, and males have large claspers, which contain bristles at the end.[3] The species is sometimes confused with Chimaera obscura, a related species commonly known as the shortspine chimaera. However, the species are different morphological; notably, C. fulva is lighter in color than C. obscura.[4][1]\n', 'The southern chimaera is a bathydemersal marine species, typically living in waters 780 to 1095 meters deep, though it has been found in shallower waters as well. The species is oviparous.[3][1]\n']"
Hydrolagus_colliei,"['The spotted ratfish (Hydrolagus colliei) is a chimaera found in the north-eastern Pacific Ocean. Often seen by divers at night in the Pacific Northwest, this cartilaginous fish gets its characteristic name from a pointed rat-like tail. The ratfish lays leathery egg cases on the bottom of muddy or sandy areas, which are often mistaken by divers as something inanimate. While mainly a deep-water species, it occurs at shallower depths in the northern part of its range.  The generic name, Hydrolagus, comes from the Greek words ὕδωρ, meaning water,[2] and λαγώς/λαγῶς, meaning hare,[2] and the specific name honors Alexander Collie, who was a ship surgeon and early naturalist. The spotted ratfish is common in much of its range, not typically eaten by humans, and is not commercially caught.[1][3]\n', 'The spotted ratfish has a very distinct appearance compared to unrelated fish species. The female is up to 97\xa0cm (38\xa0in) long, much bigger than the male. These fish have a smooth and scaleless skin that is a silvery-bronze color, often with sparkling shades of gold, blue, and green. The speckled white spots along their backs contribute to their name. Dark edges outline both the caudal and dorsal fins, whereas the pectoral fins have a transparent outline. Their pectoral fins are large and triangular, and extend straight out from the sides of their bodies like airplane wings. They have a venomous spine located at the leading edge of their dorsal fin, which is used in defense. It does not present a serious danger to humans, but can cause painful wounds and has been known to kill harbor seals that ate spotted ratfish (caused by the spine penetrating vital tissue in the stomach or esophagus after the ratfish was swallowed).[4] The tail of the ratfish constitutes almost half of its overall length and closely resembles a pointed, rat-like tail. The body of this fish is supported by cartilage rather than bone. It has a duckbill-shaped snout and a rabbit-like face. The mouth is small and contains one pair of forward-directed, incisor-shaped teeth in the bottom jaw and two pairs in the top jaw. Unlike sharks, which have sharp teeth that are easily replaceable, spotted ratfish teeth are plate-shaped, mineralized, and permanent, which assist them in grinding their prey. Like many bony fishes, but unlike its sister group, the Elasmobranchii, the upper jaw of the chimaera is fused with the skull.[5][6] Although their jaws are soft and mouths are relatively small, they have the largest biting force and jaw leverage found within the Holocephali, which supports their ability to consume large prey. One of their most mesmerizing features is their large, emerald green eyes, which are able to reflect light, similar to the eyes of a cat.\n'] ['The spotted ratfish has a very distinct appearance compared to unrelated fish species. The female is up to 97\xa0cm (38\xa0in) long, much bigger than the male. These fish have a smooth and scaleless skin that is a silvery-bronze color, often with sparkling shades of gold, blue, and green. The speckled white spots along their backs contribute to their name. Dark edges outline both the caudal and dorsal fins, whereas the pectoral fins have a transparent outline. Their pectoral fins are large and triangular, and extend straight out from the sides of their bodies like airplane wings. They have a venomous spine located at the leading edge of their dorsal fin, which is used in defense. It does not present a serious danger to humans, but can cause painful wounds and has been known to kill harbor seals that ate spotted ratfish (caused by the spine penetrating vital tissue in the stomach or esophagus after the ratfish was swallowed).[4] The tail of the ratfish constitutes almost half of its overall length and closely resembles a pointed, rat-like tail. The body of this fish is supported by cartilage rather than bone. It has a duckbill-shaped snout and a rabbit-like face. The mouth is small and contains one pair of forward-directed, incisor-shaped teeth in the bottom jaw and two pairs in the top jaw. Unlike sharks, which have sharp teeth that are easily replaceable, spotted ratfish teeth are plate-shaped, mineralized, and permanent, which assist them in grinding their prey. Like many bony fishes, but unlike its sister group, the Elasmobranchii, the upper jaw of the chimaera is fused with the skull.[5][6] Although their jaws are soft and mouths are relatively small, they have the largest biting force and jaw leverage found within the Holocephali, which supports their ability to consume large prey. One of their most mesmerizing features is their large, emerald green eyes, which are able to reflect light, similar to the eyes of a cat.\n', 'The spotted ratfish can be found in the northeastern Pacific Ocean, ranging from Alaska to Baja California, with an isolated population in the Gulf of California.[1][3] They are abundant in much of their range.[1][3] They be found most commonly off the Pacific Northwest. The range of depths in which this fish is found extends from 0 to 913\xa0m (0 to 2,995\xa0ft) below sea level, but it is most common between 50 and 400\xa0m (160 and 1,310\xa0ft).[3] Spotted ratfish typically live closer to the shore in the northern part of their range than in the southern, but it is also found as shallow as 30\xa0m (98\xa0ft) off California.[1] Spotted ratfish tend to move closer to shallow water during the spring and autumn, then to deeper water in summer and winter. For most of the year, they prefer temperatures between 7.2 and 8.9\xa0°C (45 and 48\xa0°F), but seasonally they do move into slightly warmer water.[1][7] They can most commonly be found living near the sea floor in sandy, muddy, or rocky reef environments. Unlike most of its relatives, which are entirely restricted to deep waters, the spotted ratfish has been held in public aquaria.[7] It has also been bred in such aquaria, where two of the main issues are the requirements of low light and low temperature (generally kept at 8–12\xa0°C or 46–54\xa0°F).[7]\n']"
Hydrolagus_ogilbyi,"['Chimaera tsengi Fang & Wang, 1932[2]\nHydrolagus ogilbyi (Waite, 1898)\nHydrolagus lemures (Whitley, 1939)\nPhasmichthys lemures Whitley, 1939\n', ""Ogilby's ghostshark (Chimaera ogilbyi), also known as the whitefish, is a species of chimaera, native to the waters of Australia and southern Indonesia. It lives near the ocean floor[1] on the continental shelf and continental slope 120–350\xa0m (390–1,150\xa0ft) deep.[2] It reaches a maximum size of 85.0\xa0cm (33.5\xa0in). Reproduction is oviparous and eggs are encased in horny shells. It reaches maturity between 64–70\xa0cm (25–28\xa0in) in length. It is listed as a near-threatened species by the International Union for Conservation of Nature (IUCN) due to steep declines in population in areas affected by trawling.[1]\n""] []"
Rhinochimaera_pacifica,"['Rhinochimaera pacifica, commonly known as the Pacific spookfish, knifenose chimaera, narrownose chimaera, Pacific long-nosed chimaera, or Pinocchiofish, is a species of chimaera in the family Rhinochimaeridae.[2] It lives in various parts of the Pacific Ocean and can be characterized by its long snout.\n', 'Rhinochimaera pacifica grows to a total length of roughly 130\xa0cm, with a body length of roughly 62\xa0cm. Female specimens are typically larger than males.[1] It has a long, narrow snout and smooth tooth plates. The snout is elongated, and its length can be anywhere from 50 to 87% of the body length, ending at a blunted tip.[3]  One of its two dorsal fins is short in length but tall, while the other is lower and longer. Its caudal fin is long, and contains denticles on its upper lobe. It has a brown upperside and a more greyish-brown underside, with a white snout.[4][5][6] The edges of the fins tend to be darker in color, ranging from a dark brown to purple color.[3] Specimens in the northwest Pacific have been found to be considerably darker than ones in the southwest Pacific.[1] Juveniles are normally much paler than adults.[7]\n'] ['Rhinochimaera pacifica grows to a total length of roughly 130\xa0cm, with a body length of roughly 62\xa0cm. Female specimens are typically larger than males.[1] It has a long, narrow snout and smooth tooth plates. The snout is elongated, and its length can be anywhere from 50 to 87% of the body length, ending at a blunted tip.[3]  One of its two dorsal fins is short in length but tall, while the other is lower and longer. Its caudal fin is long, and contains denticles on its upper lobe. It has a brown upperside and a more greyish-brown underside, with a white snout.[4][5][6] The edges of the fins tend to be darker in color, ranging from a dark brown to purple color.[3] Specimens in the northwest Pacific have been found to be considerably darker than ones in the southwest Pacific.[1] Juveniles are normally much paler than adults.[7]\n', 'Rhinochimaera pacifica lives in the northwestern and southwestern parts of the Pacific Ocean. It lives in depths of 760 to 1290 m.[5][8] In particular, it occurs off Australia, China, Japan, New Zealand, and Taiwan. It also lives off Peru, and may occur in the deeper waters of the rest of the eastern Pacific Ocean. Its population is unknown. It is sometimes taken as a bycatch, but otherwise has few or no threats.[1]\n']"
Heterodontus_portusjacksoni,"['The Port Jackson shark (Heterodontus portusjacksoni) is a nocturnal,[2] oviparous (egg laying) type of bullhead shark of the family Heterodontidae, found in the coastal region of southern Australia, including the waters off Port Jackson. It has a large, blunt head with prominent forehead ridges and dark brown harness-like markings on a lighter grey-brown body,[3] and can grow up to 1.65 metres (5.5\xa0ft) long.[4] They are the largest in the genus Heterodontus.[5]\n', 'The Port Jackson shark is a migratory species, traveling south in the summer and returning north to breed in the winter. It feeds on hard-shelled mollusks, crustaceans, sea urchins, and fish. Identification of this species is very easy due to the pattern of harness-like markings that cross the eyes, run along the back to the first dorsal fin, then cross the side of the body, in addition to the spine in front of both dorsal fins.\n'] []"
Hemiscyllium_ocellatum,"['Squalus ocellatus Bonnaterre, 1788\nSqualus oculatus Banks & Solander, 1827\n', ""The epaulette shark (/ɛpəlɛt ʃɑːrk/, Hemiscyllium ocellatum) is a species of longtailed carpet shark of the family Hemiscylliidae, found in shallow, tropical waters off Australia and New Guinea (and possibly elsewhere). The common name of this shark comes from the very large, white-margined black spot behind each pectoral fin, which are reminiscent of military epaulettes. A small species (usually under 1\xa0m (3.3\xa0ft) long), the epaulette shark has a slender body with a short head and broad, paddle-shaped paired fins. The caudal peduncle (to which the tail fin is attached) comprises over half the shark's length. Adults are light brown above, with scattered darker spots and indistinct saddles.\n""] ['The epaulette shark has an elongated body, over half of which is comprised by the slender caudal peduncle. The snout is short and rounded, with the nares placed almost at the tip along with a pair of tiny barbels; there are grooves running from the nares to the mouth. There are 26–35 tooth rows in the upper jaw and 21–32 tooth rows in the lower jaw. The teeth are small, with broad bases and triangular cusps. The eyes are oval in shape and elevated, with a large spiracle below each. The five pairs of gill slits are small, with the fourth and fifth very close together.[2]\n', ""The pectoral and pelvic fins are broad and rounded and are thickly muscled. The two similarly sized dorsal fins are placed well back on the body. The anal fin is low and positioned just in front of the caudal fin. The caudal fin has only an upper lobe, which contains a prominent ventral notch near the tip and is angled almost horizontally relative to the body. Adult epaulette sharks are beige to brownish above with many widely spaced brown spots and subtle darker bands. There is a very large black spot ringed in white located behind each pectoral fin; this pair of spots are the origin of this shark's common name. Juveniles have alternating light and dark bands over their body and fins, which break up as they mature.[5][6] Epaulette sharks are typically 70–90\xa0cm (27.5–35.5\xa0in) long; the maximum reported length is 107\xa0cm (42\xa0in).[3][6]\n""]"
